RIGOL Bode Data
Para Set
StartFreq:,1000.000000
StopFreq:,5000000.000000
Freq(Hz),Gain(dB),Phase
1000.000000,0.009559,-0.332979
1047.128548,-0.026415,-0.070602
1096.478196,-0.041887,-0.171497
1148.153621,-0.060655,-0.310629
1202.264434,-0.065712,-0.506455
1258.925411,-0.049614,-0.693930
1318.256738,0.031811,-0.762175
1380.384264,-0.015965,0.385575
1445.439770,-0.034012,-0.746490
1513.561248,-0.059406,0.523752
1584.893192,-0.070568,-0.963116
1659.586907,-0.058369,-0.877830
1737.800828,-0.048753,0.709593
1819.700858,-0.047020,-0.735582
1905.460717,-0.077756,-0.670667
1995.262314,-0.090678,-0.914680
2089.296130,-0.073420,0.711503
2187.761623,-0.058293,-0.582221
2290.867652,-0.097910,0.579889
2398.832919,-0.132592,-0.529419
2511.886431,-0.088022,-0.428651
2630.267991,-0.093102,-0.261599
2754.228703,-0.109795,-0.343522
2884.031503,-0.141261,-0.467017
3019.951720,-0.143798,-0.797927
3162.277660,-0.110261,-0.691301
3311.311214,-0.055186,-0.987300
3467.368504,-0.046328,-0.674598
3630.780547,-0.078051,-0.414273
3801.893963,-0.125653,-0.256192
3981.071705,-0.120946,-0.637589
4168.693834,-0.098670,-1.020242
4365.158322,-0.060658,-0.879562
4570.881896,-0.076746,-0.568252
4786.300923,-0.140240,0.447033
5011.872336,-0.103076,-0.478635
5248.074602,-0.109411,-0.495282
5495.408738,-0.125270,-0.566707
5754.399373,-0.144641,-0.680009
6025.595860,-0.154514,-0.960250
6309.573444,-0.128587,-1.209108
6606.934480,-0.082751,-1.165953
6918.309709,-0.070403,-0.903847
7244.359600,-0.096916,-0.678115
7585.775750,-0.139668,-0.428807
7943.282347,-0.150102,-0.799896
8317.637711,-0.123818,-1.225943
8709.635899,-0.086770,-0.789565
9120.108393,-0.090952,-0.749451
9549.925860,-0.118141,-1.119395
10000.000000,-0.145479,-1.337601
10471.285480,-0.138155,-1.087721
10964.781961,-0.191741,-0.658600
11481.536214,-0.195180,-0.943366
12022.644346,-0.196952,-1.428162
12589.254117,-0.161505,-1.733282
13182.567385,-0.100951,-1.766388
13803.842646,-0.056382,-1.420460
14454.397707,-0.088581,0.746224
15135.612484,-0.139733,-1.091472
15848.931924,-0.169872,-1.533466
16595.869074,-0.143434,-2.002709
17378.008287,-0.093386,-1.934624
18197.008586,-0.099087,-1.816096
19054.607179,-0.136346,-1.583793
19952.623149,-0.161112,-2.010004
20892.961308,-0.119758,-1.903617
21877.616239,-0.082743,-1.753216
22908.676527,-0.122811,-2.060340
23988.329190,-0.154547,-2.205646
25118.864315,-0.122657,-2.498041
26302.679918,-0.124722,-2.226722
27542.287033,-0.122419,-2.745423
28840.315031,-0.108947,-2.813467
30199.517204,-0.122978,-3.123068
31622.776601,-0.102106,-3.564365
33113.112148,-0.059328,-3.313005
34673.685045,-0.073346,-3.252355
36307.805477,-0.102888,-3.557220
38018.939632,-0.109342,-3.730325
39810.717055,-0.137921,-4.054602
41686.938347,-0.098453,-4.818683
43651.583224,0.059564,-4.578492
45708.818961,-0.091505,-4.592240
47863.009232,-0.109402,-4.726346
50118.723362,-0.075646,-4.489550
52480.746024,-0.099655,-5.168428
54954.087385,-0.116432,-5.391272
57543.993733,-0.126043,-5.507995
60255.958607,-0.160085,-5.941996
63095.734448,-0.115754,-7.092715
66069.344800,0.146366,-7.705083
69183.097091,0.074455,-6.952460
72443.596007,-0.098427,-7.565996
75857.757502,-0.134121,-7.832038
79432.823472,-0.171498,-8.238338
83176.377110,-0.092690,-8.852797
87096.358995,0.129934,-8.271031
91201.083935,-0.114615,-8.451200
95499.258602,-0.090400,-8.930941
100000.000000,-0.138656,-10.275515
104712.854805,-0.116393,-11.304811
109647.819614,0.074577,-11.634367
114815.362149,-0.039954,-11.163016
120226.443461,-0.102625,-12.003767
125892.541179,0.087663,-13.716007
131825.673855,0.169705,-13.717619
138038.426460,0.101550,-13.154547
144543.977074,-0.090137,-14.120321
151356.124843,0.082456,-14.911697
158489.319246,-0.105299,-15.614813
165958.690743,0.112489,-17.753288
173780.082874,0.150620,-16.991970
181970.085860,-0.120230,-17.663429
190546.071796,-0.061048,-19.147257
199526.231496,-0.097997,-19.884365
208929.613085,0.196655,-21.210646
218776.162394,0.110767,-20.506798
229086.765276,0.142923,-22.543144
239883.291901,-0.101359,-23.797594
251188.643150,-0.107234,-24.278803
263026.799189,0.202090,-26.439020
275422.870333,0.335707,-27.367687
288403.150312,-0.195334,-27.021133
301995.172040,0.100089,-29.486015
